"Como você se locomove entre os campi?

Observação: Se você utiliza o transporte público não vinculado a UFF, como por exemplo a linha de ônibus 47, marque a opção ônibus convencional."
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Carro/Moto;Ônibus convencional"
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Bicicleta/Skate/Patinete"
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.)"
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Ônibus convencional"
""
""
Andando;BusUFF;Ônibus convencional
Andando
""
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Bicicleta/Skate/Patinete"
Ônibus convencional
""
Andando;BusUFF;Ônibus convencional
"Aplicativo de transporte (Uber,99taxi, etc.);Bicicleta/Skate/Patinete"
""
Andando
""
""
Andando;BusUFF
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Ônibus convencional"
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
""
Andando;BusUFF;Ônibus convencional
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Ônibus convencional"
Andando;BusUFF;Ônibus convencional
""
""
Andando;Ônibus convencional
Andando;BusUFF;Ônibus convencional
Bicicleta/Skate/Patinete
"Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
""
Bicicleta/Skate/Patinete
""
Ônibus convencional
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
Bicicleta/Skate/Patinete
""
""
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF"
Andando;BusUFF
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Ônibus convencional"
BusUFF
Andando;Bicicleta/Skate/Patinete;Ônibus convencional
Andando;BusUFF
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);BusUFF;Ônibus convencional"
Andando;Carro/Moto
Andando;BusUFF;Ônibus convencional
""
""
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Ônibus convencional"
Andando;BusUFF
Andando;BusUFF;Ônibus convencional
""
""
""
""
Andando;BusUFF;Ônibus convencional
"Andando;Aplicativo de transporte (Uber,99taxi, etc.);Bicicleta/Skate/Patinete;Carro/Moto;Ônibus convencional"
Andando;BusUFF;Ônibus convencional
Andando;BusUFF
Andando;BusUFF
Andando;BusUFF
Andando
Andando
""
""
Andando
BusUFF
Andando;Ônibus convencional
Andando
Andando
Andando;Ônibus convencional
Andando;BusUFF
""
